Year;SharePrice;OilProduction;GasProduction;NumberStaff;DividendYield;NetDebt;
2012;144;33.3;487;449832;4.20;1075;
2013;139;33.8;488.4;459500;5.20;1113;
2014;134;43.5;444.9;459600;5.40;1649;
2015;136.1;44;419.5;449000;5.80;2083;
2016;154.6;47.2;420.1;456000;5.20;1933;
2017;130.5;48.6;472;469600;6.20;2398;
2018;153.5;48.3;498.7;466100;10.80;3015;
2019;256.4;48;501;473800;5.90;3168;
2020;212.7;47.1;454.5;477600;5.90;3872;
2021;343;64.5;514.8;477968;10.00;2870;
2022;162.8;67.9;412.9;481094;8.19;3908;
2023;159.8;72.4;359;484220;8.57;5055;
2024;169.3;69.9;422.8;487346;8.95;5614;
