Year;SharePrice;OilProduction;GasProduction;NumberStaff;DividendYield;NetDebt;
2012;142.5;50.8;11.1;54 643;6.50%;164.6;
2013;147.6;50.6;14.6;57 764;6.40%;222;
2014;143;52.1;17.7;60 885;4.50%;510.4;
2015;143;55.7;29.9;66 497;4.50%;703.9;
2016;214;59.8;32.8;66 561;5.00%;642.8;
2017;244.1;62.4;34;67 882;6.10%;589.8;
2018;346.7;65.4;37.2;70 648;8.70%;527.9;
2019;420.2;63.3;40.9;78 847;9.00%;512.8;
2020;317.3;60.5;43.1;80 420;4.70%;547;
2021;543;62;47.8;82 733;10.30%;160.6;
2022;457.6;66.9;53.2;85 854;17.90%;186.3;
2023;847.1;120.5;57.3;88 975;12.10%;310.8;
2024;657.5;126.9;61.3;92 096;8.60%;742.6;
;;;;;;;
;;;;;;;
;;;;;;;
