Year;SharePrice;OilProduction;GasProduction;NumberStaff;DividendYield;NetDebt;
2012;2000;89.9;19.4;112000;4.5;111.9;
2013;2040;90.8;20.4;109600;5.4;297.5;
2014;2225;97.2;26.1;110300;6.9;587;
2015;2346;100.7;20.3;106200;7.5;602;
2016;3449;92;20.3;105500;5.7;437.2;
2017;3334.5;87.2;28.8;103600;6.4;286;
2018;4997;87.1;33.5;102500;5;42.4;
2019;6169;87.5;35;101800;8.8;37.2;
2020;5183;80.1;29;100800;5;315.9;
2021;6558.5;81.1;32.2;100000;13.4;80.5;
2022;4070.5;85;34.6;100000;17;0;
2023;6760.5;82.6;35.2;99800;14;-784;
