Year;SharePrice;OilProduction;GasProduction;NumberStaff;DividendYield;NetDebt;
2012;2000;89.9;19.4;112000;4.50%;111.9;
2013;2040;90.8;20.4;109600;5.40%;297.5;
2014;2225;97.2;26.1;110300;6.90%;587;
2015;2346;100.7;20.3;106200;7.50%;602;
2016;3449;92;20.3;105500;5.70%;437.2;
2017;3335;87.2;28.8;103600;6.40%;286;
2018;4997;87.1;33.5;102500;5.00%;42.4;
2019;6169;87.5;35;101800;8.80%;37.2;;
2020;5183;80.1;29;100800;5.00%;315.9;
2021;6559;81.1;32.2;94856;13.40%;80.5;
2022;4071;85;34.6;92445;17.00%;0;
2023;6761;82.6;35.2;90033;14.00%;-784;
2024;7140;81.1;37.8;87621;14.00%;-759;
