Year;SharePrice;OilProduction;GasProduction;NumberStaff;DividendYield;NetDebt;
2011;213.8;128.8;12.8;160800;3.50;611;
2012;270;134.9;16.4;166100;3.00;749;
2013;251.6;189.2;38.2;228000;5.10;2110;
2014;195.8;204.9;56.7;248900;4.20;4157;
2015;253;202.8;62.5;261500;4.60;4669;
2016;402.8;210;67.1;295800;1.50;4543;
2017;291.5;225;68.4;302100;3.60;5276;
2018;432.5;230;67.3;325600;6.00;4985;
2019;449.7;230;67;315400;7.40;4682;
2020;437.2;205;56.9;355900;1.60;5543;
2021;598.1;192.1;64.8;355900;7.00;5416;
2022;363.8;191;74.4;355900;10.50;0;
2023;550.5;193.6;92.7;355900;10.90;2700;
2024;523.7;187.7;117.1;355900;12.30;3100;
