Year;SharePrice;OilProduction;GasProduction;NumberStaff;DividendYield;NetDebt;
2015;558.4;7.69;2.894;10 555;0.00%;178.9;
2016;558.4;7.5;2.737;9 975;0.00%;85.1;
2017;612;7.52;2.58;9 818;0.00%;81.5;
2018;528.8;7.61;2.6;9 394;0.00%;98.8;
2019;550.2;6.55;2.13;9 026;0.00%;79;
2020;233;5.87;1.85;8 000;0.00%;93.8;
2021;153.4;6.68;2.17;7 978;0.00%;87.7;
2022;81.3;6.91;1.795;7 733;0.00%;77.3;
2023;132.3;6.2;1.638;7 118;0.00%;82;
2024;135.8;6.0;1.481;6 069;0.00%;84.1;
;;;;;;;
;;;;;;;
;;;;;;;
