Year;SharePrice;OilProduction;GasProduction;NumberStaff;DividendYield;NetDebt;
2013;121.5;26.4;0;94 838;6.80%;19.8;
2014;134.1;26.5;0;85 461;7.90%;-12.8;
2015;199;27.2;0;73 000;5.50%;-8.24;
2016;235;28.7;0;73 000;9.70%;-23;
2017;365;28.9;0;54 000;10.90%;4.02;
2018;522;29.5;0;48 078;16.30%;-50.5;
2019;734;29.8;0;54 000;8.90%;16.1;
2020;476.5;26;0;60 000;4.70%;-15.5;
2021;459.9;27.8;0;65 000;9.30%;-124.3;
2022;340.7;29.1;0;45 932;19.70%;-153.4;
2023;707.9;28.5;0;41 621;12.40%;-61.2;
2024;681.6;27.3;0;37 310;8.60%;-104.2;
